id,text,source_forum,timestamp
post_50,buying combolist from hospital paying 0.5 btc in bitcoin,hackforums,2024-02-12 14:58:00
post_51,ransomware source code bypass av bulk discount limited offer,breachforums,2024-02-04 14:11:00
post_52,zero day in android guaranteed unpatched selling 0.5 btc,breachforums,2024-04-17 08:53:00
post_53,buying credential from university paying 500 usd in usdt,breachforums,2024-03-04 06:53:00
post_54,malware source code modular 0.5 btc limited offer,darknetlive,2024-04-29 22:16:00
post_55,new ransomware available no logs contact for negotiable,hackforums,2024-06-22 12:25:00
post_56,fresh fullz dump 500k records ecommerce site usdt accepted,raidforums,2024-01-11 11:34:00
post_57,access to social media network guaranteed pm for price xmr,raidforums,2024-01-28 13:23:00
post_58,fresh rat logs 200k lines modular daily,exploit_in,2024-05-03 14:27:00
post_59,zero day in web application encrypted unpatched selling 1000 usd,darknetlive,2024-06-05 21:24:00
post_60,selling 2 million database from fortune 500 0.5 btc monero,darknetlive,2024-03-12 19:44:00
post_61,leak from healthcare provider 50k records includes credit card,raidforums,2024-03-02 22:30:00
post_62,buying fullz from ecommerce site paying 500 usd in crypto,exploit_in,2024-04-04 15:35:00
post_63,exploit for android no logs pm for price escrow available,hackforums,2024-02-29 03:46:00
post_64,exploit for web application no logs 500 usd escrow available,breachforums,2024-05-14 19:18:00
post_65,malware builder fud fully undetected bypass database server 1000 usd,breachforums,2024-02-02 08:02:00
post_66,leak from retailer 1 million records includes ssn,hackforums,2024-05-02 14:21:00
post_67,selling 1 million account from healthcare provider auction bitcoin,breachforums,2024-05-27 20:43:00
post_68,new crypter available guaranteed contact for 500 usd,exploit_in,2024-06-01 19:14:00
post_69,2 million account from ecommerce site verified btc,breachforums,2024-06-07 01:39:00
post_70,credit card stuffing list ecommerce site 500k checked bitcoin,breachforums,2024-05-21 02:10:00
post_71,2 million account from ecommerce site verified monero,darknetlive,2024-01-19 21:14:00
post_72,logs stuffing list healthcare provider 500k checked monero,darknetlive,2024-01-19 01:10:00
post_73,rat source code guaranteed 0.5 btc limited offer,raidforums,2024-05-08 17:31:00
post_74,fresh logs dump 50k records university xmr accepted,breachforums,2024-06-21 18:37:00
post_75,credential stuffing list fortune 500 1 million checked btc,raidforums,2024-05-29 13:40:00
post_76,fresh database dump 2 million records hospital xmr accepted,darknetlive,2024-04-15 22:31:00
post_77,access to retailer network tested negotiable xmr,breachforums,2024-04-13 16:52:00
post_78,access to major bank network modular 500 usd btc,breachforums,2024-06-09 14:48:00
post_79,spyware as a service bypass av usdt only serious buyers,hackforums,2024-06-10 19:51:00
post_80,fresh ddos logs 200k lines bypass av daily,hackforums,2024-01-30 14:07:00
post_81,buying combolist from hospital paying auction in crypto,hackforums,2024-05-21 04:24:00
post_82,phishing kit ecommerce site clone automated crypto,darknetlive,2024-01-01 09:46:00
post_83,malware builder tested bypass database server bulk discount,darknetlive,2024-05-19 12:29:00
post_84,malware builder fud fully undetected bypass office365 0.5 btc,raidforums,2024-05-01 22:58:00
post_85,200k account from major bank verified btc,raidforums,2024-04-22 03:33:00
post_86,selling 200k logs from fortune 500 negotiable crypto,breachforums,2024-06-26 12:41:00
post_87,malware builder automated bypass windows kernel pm for price,darknetlive,2024-06-07 02:15:00
post_88,malware as a service encrypted usdt only serious buyers,breachforums,2024-06-26 09:57:00
post_89,selling 10k credential from ecommerce site 1000 usd xmr,hackforums,2024-05-15 13:36:00
post_90,new backdoor available silent install contact for auction,raidforums,2024-05-29 04:14:00
post_91,access to ecommerce site network no logs pm for price bitcoin,darknetlive,2024-02-10 02:28:00
post_92,stealer source code guaranteed 0.5 btc limited offer,exploit_in,2024-01-28 07:24:00
post_93,exploit for windows kernel no logs auction escrow available,breachforums,2024-05-24 21:49:00
post_94,phishing kit government clone silent install xmr,hackforums,2024-03-05 21:48:00
post_95,access to ecommerce site network modular auction crypto,darknetlive,2024-02-03 02:58:00
post_96,exploit for database server automated 500 usd escrow available,raidforums,2024-03-10 05:16:00
post_97,database stuffing list healthcare provider 1 million checked bitcoin,raidforums,2024-05-22 11:05:00
post_98,selling 1 million fullz from retailer 1000 usd usdt,hackforums,2024-06-12 11:06:00
post_99,buying database from crypto exchange paying 500 usd in usdt,hackforums,2024-06-15 13:07:00
post_100,selling 50k combolist from retailer negotiable bitcoin,exploit_in,2024-04-09 14:23:00
post_101,200k logs from healthcare provider verified crypto,hackforums,2024-01-09 22:23:00
post_102,buying credit card from university paying negotiable in usdt,hackforums,2024-01-16 12:17:00
post_103,fresh fullz dump 2 million records government usdt accepted,exploit_in,2024-03-26 07:08:00
post_104,keylogger as a service persistent monero only serious buyers,hackforums,2024-01-01 08:54:00
post_105,new botnet available fud fully undetected contact for pm for price,breachforums,2024-03-01 18:20:00
post_106,new crypter available bypass av contact for pm for price,darknetlive,2024-05-01 14:49:00
post_107,leak from social media 100k records includes account,breachforums,2024-04-27 20:01:00
post_108,buying logs from healthcare provider paying 0.5 btc in usdt,breachforums,2024-03-23 19:09:00
post_109,new rat available encrypted contact for bulk discount,breachforums,2024-06-03 13:06:00
post_110,malware builder encrypted bypass vpn client 500 usd,darknetlive,2024-04-16 23:06:00
post_111,10k combolist from university verified usdt,breachforums,2024-01-22 02:27:00
post_112,fresh crypter logs 10k lines automated daily,darknetlive,2024-06-20 03:26:00
post_113,malware builder bypass av bypass web application bulk discount,raidforums,2024-05-09 06:09:00
post_114,rat as a service modular bitcoin only serious buyers,exploit_in,2024-04-19 17:49:00
post_115,rat source code tested 500 usd limited offer,hackforums,2024-01-02 05:55:00
post_116,ransomware source code bypass av pm for price limited offer,raidforums,2024-02-25 12:26:00
post_117,exploit for apache server modular pm for price escrow available,exploit_in,2024-01-14 04:10:00
post_118,selling 100k combolist from retailer pm for price crypto,exploit_in,2024-04-16 08:13:00
post_119,fresh logs dump 10k records healthcare provider usdt accepted,hackforums,2024-06-19 09:02:00
post_120,50k credential from government verified monero,raidforums,2024-03-24 03:00:00
post_121,fresh stealer logs 5k lines automated daily,raidforums,2024-06-20 11:04:00
post_122,malware builder modular bypass vpn client 0.5 btc,raidforums,2024-05-26 12:45:00
post_123,zero day in office365 encrypted unpatched selling 1000 usd,breachforums,2024-01-23 13:54:00
post_124,rat as a service tested crypto only serious buyers,exploit_in,2024-03-26 05:04:00
post_125,access to university network silent install 1000 usd usdt,hackforums,2024-02-07 08:12:00
post_126,spyware source code encrypted auction limited offer,exploit_in,2024-05-28 14:43:00
post_127,access to fortune 500 network encrypted 0.5 btc bitcoin,darknetlive,2024-03-11 18:03:00
post_128,leak from retailer 100k records includes combolist,breachforums,2024-01-20 20:55:00
post_129,ransomware source code encrypted bulk discount limited offer,exploit_in,2024-06-15 06:20:00
post_130,buying credential from retailer paying negotiable in xmr,raidforums,2024-01-11 07:45:00
post_131,buying database from university paying 1000 usd in crypto,darknetlive,2024-01-14 20:41:00
post_132,fresh fullz dump 10k records social media crypto accepted,exploit_in,2024-02-08 10:05:00
post_133,access to ecommerce site network persistent pm for price usdt,raidforums,2024-01-22 09:35:00
post_134,access to social media network automated negotiable usdt,hackforums,2024-01-05 11:19:00
post_135,botnet as a service bypass av monero only serious buyers,exploit_in,2024-01-26 16:49:00
post_136,malware builder persistent bypass wordpress 500 usd,exploit_in,2024-02-16 22:49:00
post_137,account stuffing list major bank 200k checked xmr,raidforums,2024-03-13 23:50:00
post_138,keylogger as a service modular monero only serious buyers,raidforums,2024-04-28 09:49:00
post_139,leak from government 5k records includes ssn,darknetlive,2024-06-13 15:55:00
post_140,leak from ecommerce site 100k records includes fullz,hackforums,2024-02-07 13:05:00
post_141,malware builder automated bypass office365 0.5 btc,darknetlive,2024-03-01 12:05:00
post_142,keylogger as a service persistent usdt only serious buyers,raidforums,2024-01-10 09:58:00
post_143,fresh malware logs 200k lines fud fully undetected daily,exploit_in,2024-02-25 04:35:00
post_144,leak from ecommerce site 5k records includes fullz,exploit_in,2024-04-17 20:50:00
post_145,buying fullz from retailer paying bulk discount in btc,darknetlive,2024-03-02 22:09:00
post_146,50k database from government verified crypto,exploit_in,2024-04-02 02:33:00
post_147,leak from retailer 50k records includes logs,breachforums,2024-01-05 11:50:00
post_148,exploit for office365 fud fully undetected pm for price escrow available,hackforums,2024-05-19 10:52:00
post_149,malware builder encrypted bypass windows kernel auction,hackforums,2024-03-16 06:02:00
post_150,phishing kit ecommerce site clone encrypted crypto,darknetlive,2024-01-10 20:12:00
post_151,exploit for router firmware guaranteed negotiable escrow available,raidforums,2024-04-08 10:11:00
post_152,fresh ddos logs 2 million lines bypass av daily,darknetlive,2024-06-03 05:34:00
post_153,exploit for web application encrypted pm for price escrow available,raidforums,2024-04-19 05:44:00
post_154,exploit for apache server fud fully undetected bulk discount escrow available,darknetlive,2024-06-20 20:25:00
post_155,leak from fortune 500 200k records includes credential,darknetlive,2024-01-18 07:49:00
post_156,exploit for office365 tested 500 usd escrow available,hackforums,2024-04-23 02:36:00
post_157,leak from university 10k records includes logs,raidforums,2024-02-17 15:33:00
post_158,phishing kit ecommerce site clone modular crypto,breachforums,2024-06-26 15:12:00
post_159,new malware available tested contact for pm for price,darknetlive,2024-01-17 17:34:00
post_160,phishing kit fortune 500 clone silent install xmr,raidforums,2024-02-21 04:15:00
post_161,selling 10k database from retailer auction btc,raidforums,2024-01-17 09:25:00
post_162,leak from crypto exchange 5k records includes logs,darknetlive,2024-04-29 21:33:00
post_163,new malware available automated contact for bulk discount,darknetlive,2024-03-18 05:10:00
post_164,phishing kit social media clone silent install bitcoin,darknetlive,2024-03-11 04:40:00
post_165,botnet source code modular bulk discount limited offer,breachforums,2024-03-27 18:02:00
post_166,fresh combolist dump 50k records government btc accepted,darknetlive,2024-05-07 20:34:00
post_167,access to government network no logs auction usdt,hackforums,2024-01-19 22:03:00
post_168,buying account from retailer paying 500 usd in xmr,darknetlive,2024-03-22 23:55:00
post_169,200k database from social media verified bitcoin,hackforums,2024-02-01 08:28:00
post_170,new ddos available silent install contact for 0.5 btc,darknetlive,2024-03-24 18:46:00
post_171,rat as a service encrypted crypto only serious buyers,raidforums,2024-01-24 12:32:00
post_172,spyware as a service modular xmr only serious buyers,breachforums,2024-03-14 17:00:00
post_173,200k combolist from university verified crypto,hackforums,2024-01-14 18:35:00
post_174,exploit for web application no logs bulk discount escrow available,hackforums,2024-06-23 19:07:00
post_175,fresh database dump 5k records university xmr accepted,breachforums,2024-05-10 12:32:00
post_176,selling 50k ssn from university auction crypto,darknetlive,2024-06-04 16:08:00
post_177,phishing kit hospital clone modular usdt,raidforums,2024-05-09 16:34:00
post_178,fresh malware logs 1 million lines guaranteed daily,breachforums,2024-03-19 23:55:00
post_179,ransomware source code modular bulk discount limited offer,exploit_in,2024-02-13 16:40:00
post_180,ssn stuffing list government 5k checked btc,hackforums,2024-04-22 10:26:00
post_181,500k logs from social media verified btc,darknetlive,2024-05-12 06:35:00
post_182,access to university network tested 500 usd crypto,darknetlive,2024-03-31 21:49:00
post_183,rat source code silent install 1000 usd limited offer,raidforums,2024-03-14 22:13:00
post_184,exploit for apache server no logs auction escrow available,raidforums,2024-05-26 21:34:00
post_185,phishing kit fortune 500 clone bypass av bitcoin,raidforums,2024-04-23 20:16:00
post_186,botnet as a service bypass av xmr only serious buyers,breachforums,2024-05-30 07:15:00
post_187,access to major bank network encrypted negotiable crypto,exploit_in,2024-06-23 04:00:00
post_188,phishing kit retailer clone no logs usdt,breachforums,2024-03-14 20:03:00
post_189,access to fortune 500 network guaranteed 0.5 btc monero,darknetlive,2024-02-17 23:55:00
post_190,phishing kit ecommerce site clone tested btc,exploit_in,2024-04-26 20:34:00
post_191,buying account from ecommerce site paying 500 usd in bitcoin,hackforums,2024-06-14 08:45:00
post_192,selling 10k combolist from crypto exchange pm for price monero,breachforums,2024-04-19 16:20:00
post_193,100k ssn from fortune 500 verified xmr,darknetlive,2024-04-08 07:28:00
post_194,exploit for apache server fud fully undetected pm for price escrow available,raidforums,2024-04-29 09:10:00
post_195,access to ecommerce site network silent install 1000 usd btc,exploit_in,2024-05-02 04:29:00
post_196,exploit for web application silent install auction escrow available,exploit_in,2024-01-21 16:28:00
post_197,spyware source code bypass av auction limited offer,exploit_in,2024-05-29 15:05:00
post_198,buying account from fortune 500 paying bulk discount in crypto,darknetlive,2024-05-23 14:43:00
post_199,fresh stealer logs 50k lines modular daily,breachforums,2024-01-12 13:22:00
post_200,leak from retailer 50k records includes fullz,raidforums,2024-06-13 23:41:00
post_201,exploit for office365 persistent 0.5 btc escrow available,raidforums,2024-01-31 05:34:00
post_202,leak from major bank 200k records includes credit card,hackforums,2024-04-18 17:24:00
post_203,malware as a service fud fully undetected monero only serious buyers,hackforums,2024-06-06 00:15:00
post_204,fresh credential dump 100k records retailer usdt accepted,exploit_in,2024-04-12 14:14:00
post_205,backdoor as a service tested monero only serious buyers,darknetlive,2024-06-02 21:52:00
post_206,rat as a service no logs crypto only serious buyers,hackforums,2024-05-22 18:56:00
post_207,access to major bank network automated 1000 usd usdt,hackforums,2024-06-27 13:26:00
post_208,zero day in wordpress no logs unpatched selling 0.5 btc,raidforums,2024-04-28 01:35:00
post_209,200k logs from government verified monero,hackforums,2024-04-04 02:34:00
post_210,selling 1 million logs from crypto exchange bulk discount bitcoin,raidforums,2024-06-20 17:13:00
post_211,malware as a service encrypted monero only serious buyers,hackforums,2024-06-27 19:45:00
post_212,500k database from ecommerce site verified crypto,raidforums,2024-03-07 11:32:00
post_213,buying account from university paying 500 usd in xmr,hackforums,2024-05-24 07:47:00
post_214,selling 1 million logs from ecommerce site 500 usd monero,exploit_in,2024-05-25 07:31:00
post_215,access to retailer network encrypted pm for price usdt,exploit_in,2024-03-31 05:08:00
post_216,buying credential from social media paying negotiable in bitcoin,breachforums,2024-02-05 20:14:00
post_217,fresh keylogger logs 200k lines fud fully undetected daily,exploit_in,2024-06-12 21:59:00
post_218,phishing kit major bank clone guaranteed btc,darknetlive,2024-01-05 16:46:00
post_219,leak from social media 1 million records includes credential,hackforums,2024-01-25 16:09:00
post_220,malware as a service tested crypto only serious buyers,hackforums,2024-04-27 18:15:00
post_221,zero day in router firmware automated unpatched selling 0.5 btc,hackforums,2024-01-15 20:00:00
post_222,fresh logs dump 2 million records university bitcoin accepted,exploit_in,2024-02-24 22:56:00
post_223,buying credential from healthcare provider paying pm for price in xmr,hackforums,2024-02-15 10:01:00
post_224,backdoor source code silent install 1000 usd limited offer,exploit_in,2024-04-09 21:57:00
post_225,500k fullz from university verified btc,raidforums,2024-01-08 20:17:00
post_226,buying database from social media paying 0.5 btc in crypto,hackforums,2024-01-22 19:18:00
post_227,fresh botnet logs 100k lines guaranteed daily,breachforums,2024-04-02 03:05:00
post_228,zero day in vpn client persistent unpatched selling negotiable,exploit_in,2024-04-24 17:35:00
post_229,100k credential from healthcare provider verified btc,darknetlive,2024-03-24 12:00:00
post_230,5k fullz from social media verified btc,darknetlive,2024-02-13 04:17:00
post_231,zero day in android guaranteed unpatched selling 500 usd,darknetlive,2024-05-03 02:23:00
post_232,rat as a service fud fully undetected monero only serious buyers,darknetlive,2024-03-26 19:24:00
post_233,buying logs from crypto exchange paying 500 usd in xmr,raidforums,2024-05-02 10:11:00
post_234,exploit for android guaranteed auction escrow available,exploit_in,2024-04-10 11:07:00
post_235,spyware as a service no logs monero only serious buyers,hackforums,2024-04-14 21:31:00
post_236,access to ecommerce site network guaranteed pm for price monero,exploit_in,2024-04-24 19:30:00
post_237,5k credential from university verified btc,darknetlive,2024-03-04 21:42:00
post_238,new malware available fud fully undetected contact for auction,exploit_in,2024-03-07 07:32:00
post_239,leak from university 500k records includes account,breachforums,2024-03-29 00:30:00
post_240,zero day in android tested unpatched selling auction,hackforums,2024-03-28 14:50:00
post_241,leak from retailer 2 million records includes database,breachforums,2024-03-17 01:51:00
post_242,selling 10k fullz from fortune 500 pm for price monero,raidforums,2024-02-10 10:35:00
post_243,buying logs from fortune 500 paying 500 usd in usdt,exploit_in,2024-06-06 06:28:00
post_244,5k credential from government verified xmr,darknetlive,2024-05-17 05:23:00
post_245,crypter as a service tested crypto only serious buyers,exploit_in,2024-04-09 19:25:00
post_246,fresh database dump 10k records retailer monero accepted,darknetlive,2024-01-22 21:08:00
post_247,fresh combolist dump 500k records healthcare provider xmr accepted,exploit_in,2024-04-17 19:08:00
post_248,5k ssn from retailer verified btc,hackforums,2024-05-05 09:08:00
post_249,exploit for vpn client silent install negotiable escrow available,raidforums,2024-05-23 16:41:00
post_250,2 million logs from retailer verified monero,darknetlive,2024-02-26 09:02:00
post_251,spyware as a service automated usdt only serious buyers,darknetlive,2024-01-29 18:07:00
post_252,credential stuffing list retailer 10k checked monero,darknetlive,2024-03-17 01:28:00
post_253,exploit for office365 modular auction escrow available,hackforums,2024-06-05 20:27:00
post_254,backdoor source code tested auction limited offer,hackforums,2024-03-12 19:34:00
post_255,exploit for vpn client persistent 1000 usd escrow available,hackforums,2024-01-16 08:55:00
post_256,fresh stealer logs 200k lines guaranteed daily,darknetlive,2024-02-06 18:40:00
post_257,access to retailer network guaranteed negotiable usdt,darknetlive,2024-03-12 22:59:00
post_258,buying database from crypto exchange paying negotiable in usdt,hackforums,2024-01-17 17:25:00
post_259,500k account from ecommerce site verified xmr,raidforums,2024-02-03 18:54:00
post_260,credential stuffing list major bank 10k checked usdt,breachforums,2024-02-10 14:29:00
post_261,500k ssn from ecommerce site verified xmr,hackforums,2024-01-22 11:42:00
post_262,selling 5k combolist from government 0.5 btc usdt,hackforums,2024-02-24 15:04:00
post_263,keylogger source code bypass av negotiable limited offer,breachforums,2024-06-26 04:30:00
post_264,keylogger as a service no logs xmr only serious buyers,hackforums,2024-04-07 04:41:00
post_265,fresh ssn dump 50k records retailer usdt accepted,hackforums,2024-06-06 21:28:00
post_266,fresh ssn dump 100k records healthcare provider usdt accepted,darknetlive,2024-03-21 04:15:00
post_267,access to social media network no logs bulk discount btc,exploit_in,2024-06-17 09:13:00
post_268,stealer source code encrypted pm for price limited offer,exploit_in,2024-01-29 07:31:00
post_269,fresh database dump 50k records university crypto accepted,raidforums,2024-05-19 21:11:00
post_270,credential stuffing list crypto exchange 100k checked bitcoin,darknetlive,2024-01-16 12:32:00
post_271,access to hospital network automated negotiable usdt,darknetlive,2024-02-09 08:05:00
post_272,fresh ssn dump 500k records social media crypto accepted,hackforums,2024-06-27 13:46:00
post_273,selling 500k fullz from hospital negotiable crypto,hackforums,2024-03-20 21:47:00
post_274,fresh ssn dump 50k records major bank crypto accepted,hackforums,2024-03-07 05:23:00
post_275,fresh rat logs 1 million lines automated daily,breachforums,2024-03-08 22:36:00
post_276,buying database from major bank paying 0.5 btc in btc,exploit_in,2024-03-06 03:57:00
post_277,access to social media network silent install negotiable bitcoin,hackforums,2024-04-30 11:24:00
post_278,new ddos available tested contact for 1000 usd,breachforums,2024-01-20 18:23:00
post_279,leak from government 50k records includes ssn,darknetlive,2024-04-29 09:49:00
post_280,exploit for android modular 1000 usd escrow available,darknetlive,2024-06-08 07:29:00
post_281,botnet source code fud fully undetected auction limited offer,darknetlive,2024-01-07 07:34:00
post_282,access to major bank network no logs auction usdt,raidforums,2024-02-22 16:15:00
post_283,buying ssn from ecommerce site paying negotiable in bitcoin,breachforums,2024-06-28 11:29:00
post_284,backdoor source code fud fully undetected negotiable limited offer,darknetlive,2024-06-18 04:15:00
post_285,zero day in apache server silent install unpatched selling 1000 usd,exploit_in,2024-02-21 04:49:00
post_286,fresh fullz dump 200k records fortune 500 crypto accepted,hackforums,2024-05-17 11:49:00
post_287,buying account from ecommerce site paying auction in bitcoin,breachforums,2024-06-29 22:38:00
post_288,keylogger as a service guaranteed monero only serious buyers,darknetlive,2024-01-13 21:19:00
post_289,malware builder automated bypass ios browser auction,hackforums,2024-01-25 14:06:00
post_290,fresh credential dump 50k records government monero accepted,breachforums,2024-05-29 18:16:00
post_291,selling 100k credit card from retailer auction monero,hackforums,2024-01-11 14:03:00
post_292,phishing kit retailer clone persistent crypto,darknetlive,2024-02-24 05:17:00
post_293,buying credential from crypto exchange paying bulk discount in btc,breachforums,2024-04-15 17:30:00
post_294,fresh logs dump 1 million records fortune 500 monero accepted,darknetlive,2024-01-05 12:50:00
post_295,buying database from crypto exchange paying bulk discount in xmr,hackforums,2024-01-07 10:38:00
post_296,selling 1 million credential from retailer bulk discount xmr,hackforums,2024-01-26 07:42:00
post_297,zero day in wordpress persistent unpatched selling auction,darknetlive,2024-03-01 18:20:00
post_298,phishing kit crypto exchange clone silent install monero,raidforums,2024-05-18 09:11:00
post_299,selling 100k credential from government bulk discount monero,exploit_in,2024-01-01 10:58:00
post_300,ransomware as a service fud fully undetected xmr only serious buyers,hackforums,2024-05-30 22:58:00
post_301,database stuffing list healthcare provider 100k checked usdt,hackforums,2024-03-27 09:20:00
post_302,new crypter available modular contact for 500 usd,hackforums,2024-02-27 21:37:00
post_303,1 million combolist from fortune 500 verified usdt,exploit_in,2024-05-25 01:11:00
post_304,exploit for office365 silent install 500 usd escrow available,breachforums,2024-03-22 05:40:00
post_305,malware builder bypass av bypass office365 1000 usd,breachforums,2024-03-06 03:46:00
post_306,selling 5k account from hospital 500 usd crypto,raidforums,2024-05-19 12:06:00
post_307,ssn stuffing list retailer 500k checked bitcoin,darknetlive,2024-03-07 03:04:00
post_308,new keylogger available modular contact for bulk discount,raidforums,2024-05-03 22:01:00
post_309,access to fortune 500 network silent install negotiable bitcoin,exploit_in,2024-04-14 22:35:00
post_310,zero day in database server modular unpatched selling negotiable,darknetlive,2024-05-05 04:03:00
post_311,selling 5k fullz from ecommerce site auction usdt,hackforums,2024-01-25 00:13:00
post_312,access to retailer network guaranteed auction bitcoin,breachforums,2024-05-05 21:16:00
post_313,access to university network encrypted 0.5 btc xmr,darknetlive,2024-03-08 14:29:00
post_314,malware as a service bypass av usdt only serious buyers,exploit_in,2024-05-18 13:48:00
post_315,spyware as a service modular btc only serious buyers,raidforums,2024-05-01 09:05:00
post_316,phishing kit healthcare provider clone persistent crypto,raidforums,2024-02-19 04:02:00
post_317,fresh credit card dump 5k records fortune 500 btc accepted,raidforums,2024-01-23 12:35:00
post_318,leak from social media 10k records includes combolist,hackforums,2024-04-17 03:26:00
post_319,new rat available automated contact for auction,raidforums,2024-04-15 08:24:00
post_320,botnet source code modular 1000 usd limited offer,breachforums,2024-06-23 22:25:00
post_321,10k credit card from major bank verified crypto,darknetlive,2024-03-27 09:19:00
post_322,malware builder tested bypass android 500 usd,breachforums,2024-04-16 19:41:00
post_323,leak from ecommerce site 200k records includes fullz,hackforums,2024-05-25 00:11:00
post_324,phishing kit government clone tested crypto,raidforums,2024-03-11 11:52:00
post_325,leak from major bank 5k records includes fullz,exploit_in,2024-02-15 15:37:00
post_326,exploit for windows kernel no logs pm for price escrow available,exploit_in,2024-04-08 01:10:00
post_327,credit card stuffing list government 500k checked monero,raidforums,2024-01-06 21:00:00
post_328,phishing kit crypto exchange clone no logs bitcoin,darknetlive,2024-03-19 22:45:00
post_329,5k database from retailer verified monero,breachforums,2024-06-08 12:37:00
post_330,selling 10k combolist from ecommerce site pm for price bitcoin,darknetlive,2024-03-11 20:20:00
post_331,zero day in vpn client modular unpatched selling bulk discount,hackforums,2024-06-18 10:43:00
post_332,fresh ddos logs 50k lines guaranteed daily,hackforums,2024-05-29 22:36:00
post_333,exploit for wordpress automated bulk discount escrow available,hackforums,2024-03-16 03:30:00
post_334,fresh stealer logs 1 million lines tested daily,darknetlive,2024-03-19 13:50:00
post_335,exploit for web application fud fully undetected auction escrow available,raidforums,2024-05-28 19:04:00
post_336,phishing kit hospital clone fud fully undetected xmr,raidforums,2024-02-05 06:21:00
post_337,botnet source code bypass av auction limited offer,darknetlive,2024-03-26 20:11:00
